"channel","initializer weight","holder weight","closer weight"
"Microsoft Ads","1.02","1","1"
"TikTok Ads","1","1.01","1"
"Social Organic","1.02","0.98","1"
"Performance Max","1.32","0.89","0.95"
"Paid Search Non Brand","1.01","1","0.98"
"Organic Traffic","1.02","0.97","0.97"
"Paid Search Brand","1.02","0.97","0.91"
"FB & IG Ads","1.01","1.04","1.02"
"Untracked Conversions","1","1","1"
"Affiliate & Partnerships","1","0.95","0.99"
"Newsletter & Email","0.99","1.1","0.93"
"Referral","0.99","1.1","0.99"
"Direct Traffic","0.61","0.99","1.28"